site_id,site_name,data_source,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_type_desc,hvac_plant_desc,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
1,300 Capitol Mall,field-testing,300 CMall,,1984,1996,95814,Sacramento,CA,12,3B,Office,Office,1,426000,383000,1580,Chiller + AHU + VAV,,6 AHU with economizer,centrifugal chiller,1@2398 ton,VAV with perimeter reheat,,"Chilled water temp 44 ¡F to 47 ¡F
Annex building modify monitored average zone temp down by 1.5 ¡F
Supply fan VFD* lock
Loading deck fan off
Lobby lights off
Fountain pump off","Chilled water temp to 55 ¡F
Annex building avg. zone temp down 3 ¡F",,,"CDB10, CDB20, CDA13, CDA11, CDA40",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
2,Albertsons,field-testing,Albertsons,,1928,,94602,Oakland,CA,3,3C,Supermarket,Supermarket,1,50000,50000,450,Package RTU,,,,,,,Overhead light 35% off,Anti-sweat door heater night-mode,,,CDA40,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
3,Bank of America Concord Data Center,field-testing,B of A,,1985,,94520,Concord,CA,12,3B,Bank office,Office,3,616000,708000,5380,Chiller + AHU + VAV,,52 AHU 104 variable speed fans,"VSD chiller, 3 primary CV pumps, 3 secondary VSD pumps","1@300 ton
1@800 ton
1@1200 ton",sigle duct VAV with perimeter electric reheat,,"Supply air temp reset 55 ¡F to 59 ¡F
Duct static pressure 2.2 IWC to 1.8 IWC",Supply air temp reset to 59 ¡F,,,"CDB40, CDB50",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
4,Joe Serna Jr. Cal/EPA Headquarters Building,field-testing,Cal EPA,steel frame,2000,,95814,Sacramento,CA,12,3B,Office,Office,1,950000,950000,1990,Chiller + AHU + VAV,,,,,,,Duct static pressure 1.0 IWC 7 0.5 IWC,Turn off light where daylight is available,,,CDB50,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
5,CANMET Energy Technology Centre - Varennes,field-testing,CETC,,,,,Varennes,"Quebec, (Canada)",#N/A,#N/A,Research Facility,Office,1,45000,18000,240,Chiller + AHU + VAV,,"12 supply fans, 6 return fans/ 75kW/75hp . 60000CFM VFD",chiller,"2@70ton
a iced bank of 70t",,,"Unload chiller and cool with ice storage
Two air handling units off
Electric humidifier off",,,,CDA11,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
6,Cisco Systems,field-testing,Cisco,,1999,,95134,San Jose,CA,4,3C,Office/Tech Lab,Office,24,4466000,4466000,27860,Chiller + AHU + VAV,,4 sets of supply fans(75-100hp) and return fans (25-30hp) for each building,"2-3 chiller units (400-650tons)
for each building","2-3 chiller units (400-650tons)
for each building",,,"VAV zone setup 2 ¡F 
Computer Room AH setup 2 ¡F
Boiler pump off & stairwell fan-coils off
Boiler pump off & stairwell fan-coils off 
Sweep lighting where daylight is available. 
Stairwell, lobby, hallway lights off",,,,"CDB10, CDA40",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
7,Contra Costa County 50 Douglas,field-testing,50 Douglas,,1985,,94553,Martinez,CA,3,3C,Office,Office,1,90000,90000,500,Package RTU + VAV,,3 roof top paskage units with DX cooling,"75 ton has 4 equal compressor stage, 90ton unit has 6 equal compressor stage","2@75 ton
1@90 ton",sigle duct VAV with perimeter electric reheat,,Global zone setup 76 ¡F to 78 ¡F,Global zone setup to 80 ¡F,,,CDB10,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
8,Contra Costa County Summit Center,field-testing,Summit Ctr,,1985,,94553,Martinez,CA,3,3C,Office,Office,1,131000,131000,500,Package RTU + VAV,,4 roof top paskage units with DX cooling,each unit has 8 equal compressor stage,4@60 ton,sigle duct VAV with perimeter electric reheat,,Global zone setup 76 ¡F 7 78 ¡F,"Global zone setup 7 80 ¡F
2 of 3 Rooftop units off Lobby
common area light off",,,CDB10,OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
9,Echelon San Jose Headquarter,field-testing,Echelon,steel frame,2001,,95126,San Jose,CA,4,3C,Office,Office,1,75000,75000,410,Package RTU + VAV,,total 4800 yond og packed units with VFD,,1@4800 ton,,,"Zone set point increase
Dim office lighting",2 of 3 Rooftop units off Lobby,,,"CDB10, CDA40",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
10,GSA Phillip Burton San Francisco Federal Building,field-testing,450 GG,,1964,2000,94102,San Francisco,CA,3,3C,Federal Office,Office,1,1424000,1424000,2130,Chiller + AHU + VAV,,"8 AHU, VFD at supply and return fans (partially constant volume), courtrooms are by 13 package units","3 water-cooled chillers, a air-cooled chillers, 6 cooling towers",,dual duct VAV,,"Global zone setup 72 ¡F to 74 ¡F
Global zone setback 70 ¡F to 68 ¡F",Global zone setup to 78 ¡F,,,"CDB10, CDB11",OAT_MA,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
